Date,Historical,Test_Actual,Test_Predicted,Forecasted
2007-Q4,40.06,,,
2008-Q1,31.37,,,
2008-Q2,13.16,,,
2008-Q3,9.47,,,
2008-Q4,10.58,,,
2009-Q1,7.79,,,
2009-Q2,5.02,,,
2009-Q3,5.79,,,
2009-Q4,8.49,,,
2010-Q1,15.91,,,
2010-Q2,20.9,,,
2010-Q3,21.87,,,
2010-Q4,26.62,,,
2011-Q1,24.79,,,
2011-Q2,23.35,,,
2011-Q3,19.26,,,
2011-Q4,19.08,,,
2012-Q1,20.88,,,
2012-Q2,22.85,,,
2012-Q3,20.19,,,
2012-Q4,20.91,,,
2013-Q1,27.32,,,
2013-Q2,31.81,,,
2013-Q3,32.18,,,
2013-Q4,35.03,,,
2014-Q1,44.98,,,
2014-Q2,43.09,,,
2014-Q3,46.41,,,
2014-Q4,55.38,,,
2015-Q1,67.75,,,
2015-Q2,57.89,,,
2015-Q3,56.42,,,
2015-Q4,57.74,,,
2016-Q1,53.1,,,
2016-Q2,47.32,,,
2016-Q3,48.11,,,
2016-Q4,63.72,,,
2017-Q1,72.28,,,
2017-Q2,75.5,,,
2017-Q3,66.62,,,
2017-Q4,62.33,,,
2018-Q1,69.09,,,
2018-Q2,69.49,,,
2018-Q3,82.48,,,
2018-Q4,87.84,,,
2019-Q1,84.4,,,
2019-Q2,84.63,,,
2019-Q3,88.37,,,
2019-Q4,89.75,,,
2020-Q1,66.12,,,
2020-Q2,29.99,,,
2020-Q3,34.59,,,
2020-Q4,40.45,,,
2021-Q1,48.83,,,
2021-Q2,55.46,,,
2021-Q3,47.12,,,
2021-Q4,46.38,,,
2022-Q1,43.35,,,
2022-Q2,43.89,,,
2022-Q3,37.2,,,
2022-Q4,40.58,,,
2023-Q1,47.92,,,
2023-Q2,47.22,47.22,47.03,
2023-Q3,50.56,50.56,50.62,
2023-Q4,39.32,39.32,39.67,
2024-Q1,42.85,42.85,42.94,
2024-Q2,50.33,50.33,50,
2024-Q3,46.29,46.29,46.45,
2024-Q4,null,null,null,96.60
2025-Q1,null,null,null,59.64
2025-Q2,null,null,null,59.79
2025-Q3,null,null,null,55.21
2025-Q4,,,,52.4
