Date,Historical,Test_Predicted,Forecasted
2017-Q2,82.77,,
2017-Q2,82.77,,
2017-Q3,77.46,,
2017-Q3,77.46,,
2017-Q4,67.65,,
2017-Q4,71.85,,
2018-Q1,65.66,,
2018-Q1,63.6,,
2018-Q2,61.17,,
2018-Q2,60.32,,
2018-Q3,60.3,,
2018-Q3,61.73,,
2018-Q4,62.19,,
2018-Q4,62.14,,
2019-Q1,61.16,,
2019-Q1,60.35,,
2019-Q2,59.8,,
2019-Q2,59.8,,
2019-Q3,60.28,,
2019-Q3,61.73,,
2019-Q4,68.42,,
2019-Q4,71.39,,
2020-Q1,61.73,,
2020-Q1,60.76,,
2020-Q2,54.41,,
2020-Q2,45.34,,
2020-Q3,42.7,,
2020-Q3,43.99,,
2020-Q4,48.08,,
2020-Q4,49.18,,
2021-Q1,51.86,,
2021-Q1,56.19,,
2021-Q2,63.05,,
2021-Q2,69.38,,
2021-Q3,62.62,,
2021-Q3,61.04,,
2021-Q4,60.04,,
2021-Q4,59.9,,
2022-Q1,59.85,,
2022-Q1,59.79,,
2022-Q2,57.94,,
2022-Q2,53.9,,
2022-Q3,53.57,,
2022-Q3,51.04,,
2022-Q4,48.31,,
2022-Q4,48.26,,
2023-Q1,47.65,,
2023-Q1,49.65,,
2023-Q2,53.49,,
2023-Q2,51.87,,
2023-Q3,48.61,,
2023-Q3,48.62,,
2023-Q4,48.96,,
2023-Q4,46.79,,
2024-Q1,44.47,,
2024-Q1,44.67,,
2024-Q2,46.58,,
2024-Q2,47.14,,
2024-Q3,46.95,,
2024-Q3,45.62,,
2024-Q4,,,46.82
2025-Q1,,,48.03
2025-Q2,,,53.52
2025-Q3,,,54.28
2025-Q4,,,59.9
