Date,CLOSE
3/1/90,4.87
6/1/90,5.02
9/1/90,4.16
12/1/90,3.67
12/1/90,3.67
3/1/91,4.90
3/1/91,4.90
6/1/91,5.07
6/1/91,5.07
9/1/91,5.05
9/1/91,5.05
12/1/91,4.45
12/1/91,4.45
3/1/92,4.80
3/1/92,4.80
6/1/92,4.27
6/1/92,4.27
9/1/92,4.04
9/1/92,4.04
12/1/92,3.66
12/1/92,3.66
3/1/93,3.80
3/1/93,3.80
6/1/93,3.68
6/1/93,3.68
9/1/93,2.94
9/1/93,2.94
12/1/93,3.38
12/1/93,3.38
3/1/94,3.72
3/1/94,3.72
6/1/94,3.46
6/1/94,3.46
9/1/94,3.69
9/1/94,3.69
12/1/94,3.55
12/1/94,3.55
3/1/95,3.36
3/1/95,3.36
6/1/95,3.72
6/1/95,3.72
9/1/95,4.16
9/1/95,4.16
12/1/95,3.66
12/1/95,3.66
3/1/96,4.71
3/1/96,4.71
6/1/96,6.22
6/1/96,6.22
9/1/96,5.12
9/1/96,5.12
12/1/96,5.07
12/1/96,5.07
3/1/97,5.28
3/1/97,5.28
6/1/97,5.57
6/1/97,5.57
9/1/97,6.40
9/1/97,6.40
12/1/97,7.88
12/1/97,7.88
3/1/98,11.43
3/1/98,11.43
6/1/98,11.74
6/1/98,11.74
9/1/98,10.16
9/1/98,10.16
12/1/98,8.12
12/1/98,8.12
3/1/99,11.24
3/1/99,11.24
6/1/99,9.80
6/1/99,9.80
9/1/99,9.68
9/1/99,9.68
12/1/99,8.53
12/1/99,8.53
3/1/00,6.78
3/1/00,6.78
6/1/00,6.64
6/1/00,6.64
9/1/00,5.97
9/1/00,5.97
12/1/00,5.79
12/1/00,5.79
3/1/01,6.65
3/1/01,6.65
6/1/01,6.19
6/1/01,6.19
9/1/01,6.59
9/1/01,6.59
12/1/01,5.84
12/1/01,5.84
3/1/02,6.98
3/1/02,6.98
6/1/02,6.47
6/1/02,6.47
9/1/02,5.11
9/1/02,5.11
12/1/02,4.62
12/1/02,4.62
3/1/03,4.36
3/1/03,4.36
6/1/03,4.18
6/1/03,4.18
9/1/03,5.72
9/1/03,5.72
12/1/03,6.35
12/1/03,6.35
3/1/04,5.91
3/1/04,5.91
6/1/04,5.10
6/1/04,5.10
9/1/04,4.99
9/1/04,4.99
12/1/04,6.47
12/1/04,6.47
3/1/05,6.64
3/1/05,6.64
6/1/05,6.55
6/1/05,6.55
9/1/05,7.30
9/1/05,7.30
12/1/05,7.48
12/1/05,7.48
3/1/06,7.26
3/1/06,7.26
6/1/06,8.47
6/1/06,8.47
9/1/06,8.36
9/1/06,8.36
12/1/06,9.16
12/1/06,9.16
3/1/07,9.25
3/1/07,9.25
6/1/07,6.92
6/1/07,6.92
9/1/07,5.64
9/1/07,5.64
12/1/07,5.60
12/1/07,5.60
3/1/08,5.30
3/1/08,5.30
6/1/08,4.38
6/1/08,4.38
9/1/08,4.28
9/1/08,4.28
12/1/08,5.34
12/1/08,5.34
3/1/09,5.30
3/1/09,5.30
6/1/09,3.93
6/1/09,3.93
9/1/09,5.29
9/1/09,5.29
12/1/09,6.69
12/1/09,6.69
3/1/10,8.23
3/1/10,8.23
6/1/10,10.22
6/1/10,10.22
9/1/10,10.95
9/1/10,10.95
12/1/10,12.03
12/1/10,12.03
3/1/11,13.70
3/1/11,13.70
6/1/11,14.66
6/1/11,14.66
9/1/11,13.34
9/1/11,13.34
12/1/11,15.10
12/1/11,15.10
3/1/12,16.32
3/1/12,16.32
6/1/12,15.45
6/1/12,15.45
9/1/12,15.69
9/1/12,15.69
12/1/12,18.24
12/1/12,18.24
3/1/13,23.15
3/1/13,23.15
6/1/13,26.50
6/1/13,26.50
9/1/13,26.91
9/1/13,26.91
12/1/13,32.10
12/1/13,32.10
3/1/14,37.56
3/1/14,37.56
6/1/14,43.26
6/1/14,43.26
9/1/14,42.26
9/1/14,42.26
12/1/14,48.12
12/1/14,48.12
3/1/15,59.43
3/1/15,59.43
6/1/15,59.18
6/1/15,59.18
9/1/15,70.36
9/1/15,70.36
12/1/15,73.15
12/1/15,73.15
3/1/16,68.47
3/1/16,68.47
6/1/16,64.23
6/1/16,64.23
9/1/16,61.44
9/1/16,61.44
12/1/16,73.89
12/1/16,73.89
3/1/17,89.03
3/1/17,89.03
6/1/17,82.77
6/1/17,82.77
9/1/17,77.46
9/1/17,77.46
12/1/17,67.65
12/1/17,67.65
3/1/18,63.43
3/1/18,63.43
6/1/18,59.49
6/1/18,59.49
9/1/18,62.60
9/1/18,62.60
12/1/18,62.77
12/1/18,62.77
3/1/19,59.56
3/1/19,59.56
6/1/19,59.66
6/1/19,59.66
9/1/19,62.15
9/1/19,62.15
12/1/19,67.73
12/1/19,67.73
3/1/20,54.20
3/1/20,54.20
6/1/20,32.56
6/1/20,32.56
9/1/20,37.46
9/1/20,37.46
12/1/20,44.98
12/1/20,44.98
3/1/21,60.10
3/1/21,60.10
6/1/21,67.48
6/1/21,67.48
9/1/21,57.63
9/1/21,57.63
12/1/21,54.14
12/1/21,54.14
3/1/22,54.53
3/1/22,54.53
6/1/22,48.82
6/1/22,48.82
9/1/22,43.92
9/1/22,43.92
12/1/22,44.06
12/1/22,44.06
3/1/23,46.91
3/1/23,46.91
6/1/23,45.46
6/1/23,45.46
9/1/23,45.29
9/1/23,45.29
12/1/23,35.66
12/1/23,35.66
3/1/24,37.41
3/1/24,37.41
6/1/24,42.43
6/1/24,42.43
9/1/24,37.94
9/1/24,37.94
