Date,CLOSE
1/1/05,23.51
1/1/06,41.74
1/1/07,33.81
1/1/08,7.35
1/1/09,3.62
1/1/10,8.12
1/1/11,7.05
1/1/12,9.89
1/1/13,17.10
1/1/14,36.70
1/1/15,43.00
1/1/16,36.76
1/1/17,46.09
1/1/18,41.98
1/1/19,30.61
1/1/20,15.32
1/1/21,20.34
1/1/22,15.29
1/1/23,14.58
1/1/24,12.74
