Year,Year_Start_Date,Adj Close
2016,2016-01-01,136.97367029999998
2017,2017-01-01,133.80939352500002
2018,2018-01-01,133.36858404999998
2019,2019-01-01,137.92768755
2020,2020-01-01,122.8859388625
2021,2021-01-01,199.027055375
2022,2022-01-01,118.12322968250001
2023,2023-01-01,89.54422503500001
2024,2024-01-01,58.49968925333334
